label,mode,seed,fail_rate,gini,mean_skill
PEAKED,frontier_limited,0,0.512396694214876,0.08971783835485414,0.3834094519901025
PEAKED,frontier_limited,1,0.514018691588785,0.12888239978762941,0.4000419298337748
PEAKED,frontier_limited,2,0.580952380952381,0.09345955249569707,0.4029844628617565
PEAKED,frontier_limited,3,0.5175097276264592,0.10973979470040582,0.41601184061390495
PEAKED,frontier_limited,4,0.6028368794326241,0.11714428108646897,0.40487348094404674
PEAKED,frontier_limited,5,0.6026200873362445,0.08013812812574422,0.3943264041540959
PEAKED,frontier_limited,6,0.6505681818181818,0.12446117891456765,0.41368864933257055
PEAKED,frontier_limited,7,0.5919395465994962,0.11403413709021945,0.4268545645961535
PEAKED,frontier_limited,8,0.5076335877862596,0.13073901301252147,0.4196736849678267
PEAKED,frontier_limited,9,0.53515625,0.16861268047708725,0.41630297063770244
PEAKED,frontier_limited,10,0.5707070707070707,0.13912363067292643,0.41491528454238064
PEAKED,frontier_limited,11,0.5975609756097561,0.11889126814180348,0.4000512039291683
PEAKED,frontier_limited,12,0.5934959349593496,0.1628946090335114,0.41737666248785243
PEAKED,frontier_limited,13,0.4834710743801653,0.11522419186652763,0.39385342080547
PEAKED,frontier_limited,14,0.48735632183908045,0.14429530201342283,0.4146757137767221
PEAKED,experience_based,0,0.4282848545636911,0.06915610676732273,0.7045630805942342
PEAKED,experience_based,1,0.4293193717277487,0.08406130268199234,0.7297419487559472
PEAKED,experience_based,2,0.41346153846153844,0.08164116828929067,0.6970310058942412
PEAKED,experience_based,3,0.40036396724294815,0.06575654152445962,0.7328853581911391
PEAKED,experience_based,4,0.3924398625429553,0.10043478260869565,0.7616609119443717
PEAKED,experience_based,5,0.45476190476190476,0.07774984286612194,0.691365511451179
PEAKED,experience_based,6,0.40298507462686567,0.07956577266922095,0.7475988464421414
PEAKED,experience_based,7,0.4510948905109489,0.08056318681318682,0.7190644749721777
PEAKED,experience_based,8,0.4448336252189142,0.0972909305064782,0.72286988772579
PEAKED,experience_based,9,0.41584766584766586,0.12097583219334246,0.7383349272409699
PEAKED,experience_based,10,0.37785467128027683,0.11153411232566905,0.7526475174320585
PEAKED,experience_based,11,0.4553224553224553,0.07943743937924345,0.7384745920349357
PEAKED,experience_based,12,0.4423337856173677,0.12235897435897436,0.7347034750739673
PEAKED,experience_based,13,0.39590942293645,0.07359507313317937,0.7469197155895144
PEAKED,experience_based,14,0.4434604904632153,0.10408466394355737,0.7233629447214175
BROAD,frontier_limited,0,0.6770682148040639,0.07442819647544056,0.3460765195100721
BROAD,frontier_limited,1,0.667932718393923,0.05776772247360483,0.3467540817300616
BROAD,frontier_limited,2,0.6147368421052631,0.06497777777777777,0.36287102760794326
BROAD,frontier_limited,3,0.6464,0.08872609883287808,0.3726011864793887
BROAD,frontier_limited,4,0.624868282402529,0.08894348894348894,0.3739152665888802
BROAD,frontier_limited,5,0.6823697359029265,0.08838364539549103,0.34426158341799185
BROAD,frontier_limited,6,0.6543478260869565,0.0728177641653905,0.3562808163171004
BROAD,frontier_limited,7,0.5954631379962193,0.09145135566188198,0.3667396399198697
BROAD,frontier_limited,8,0.596537949400799,0.10854092526690391,0.36329228638016015
BROAD,frontier_limited,9,0.635743519781719,0.09505409582689335,0.3650437514511143
BROAD,frontier_limited,10,0.677710843373494,0.09139882299683115,0.34642559941713325
BROAD,frontier_limited,11,0.622168284789644,0.08789101917255297,0.3689621184470735
BROAD,frontier_limited,12,0.6191275167785235,0.11924217462932454,0.37447517863721247
BROAD,frontier_limited,13,0.6366237482117311,0.07292751301561874,0.35606752725925594
BROAD,frontier_limited,14,0.6588471849865952,0.06496913580246913,0.3445078806628413
BROAD,experience_based,0,0.5561914672216441,0.04932562620423892,0.6399633779472362
BROAD,experience_based,1,0.5445544554455446,0.06130628401781296,0.6550653957344812
BROAD,experience_based,2,0.5380184331797235,0.05795125980999587,0.6612690183638025
BROAD,experience_based,3,0.48940149625935164,0.06563084986896293,0.6812234693379396
BROAD,experience_based,4,0.519044911881751,0.060072595281306713,0.682766529307283
BROAD,experience_based,5,0.5377258235919234,0.07037037037037037,0.6597441220472963
BROAD,experience_based,6,0.5301655098772023,0.061046511627906974,0.6489915101618262
BROAD,experience_based,7,0.5111619919862621,0.07059579939991427,0.6762131221404275
BROAD,experience_based,8,0.48741559238796806,0.07277227722772277,0.6932774748735562
BROAD,experience_based,9,0.5115884680610514,0.09664902998236331,0.6803950717316632
BROAD,experience_based,10,0.527263631815908,0.0703020993343574,0.6744988981451068
BROAD,experience_based,11,0.5121555915721232,0.06810384793694947,0.6574303436739933
BROAD,experience_based,12,0.5381593714927049,0.09154704944178628,0.6582933116997777
BROAD,experience_based,13,0.5335064935064935,0.0646928610957388,0.6750746507175263
BROAD,experience_based,14,0.5133301017935046,0.05719636169074371,0.6661173256023079
FLAT,frontier_limited,0,0.7259463722397477,0.08315789473684211,0.3244266559841749
FLAT,frontier_limited,1,0.7205468435866506,0.06647531572904707,0.32247140793138035
FLAT,frontier_limited,2,0.7237369687249399,0.04715359828141783,0.32783153799380016
FLAT,frontier_limited,3,0.697884012539185,0.056703296703296706,0.3410073530019389
FLAT,frontier_limited,4,0.7311190193752471,0.08563772775991425,0.3356104880406218
FLAT,frontier_limited,5,0.7282442748091603,0.060745341614906835,0.33629949072130544
FLAT,frontier_limited,6,0.7236622073578596,0.047013487475915224,0.31193939155180134
FLAT,frontier_limited,7,0.7065047021943573,0.06843317972350231,0.33919764330685664
FLAT,frontier_limited,8,0.7180616740088106,0.08485523385300668,0.31190562795618915
FLAT,frontier_limited,9,0.7167248738843617,0.05739644970414201,0.3331729782042538
FLAT,frontier_limited,10,0.7140335392762577,0.05502074688796681,0.33847659015819886
FLAT,frontier_limited,11,0.7261526232114467,0.054292084726867335,0.33473994139833857
FLAT,frontier_limited,12,0.7208937671501372,0.06497175141242938,0.3464003475987561
FLAT,frontier_limited,13,0.7097767513471901,0.07645502645502646,0.3460688521961777
FLAT,frontier_limited,14,0.7109133126934984,0.05045662100456621,0.32722659526790593
FLAT,experience_based,0,0.5777682033606204,0.039739190116678105,0.6045406639092001
FLAT,experience_based,1,0.6150194216659474,0.060146520146520145,0.5986474491968398
FLAT,experience_based,2,0.6264167393199651,0.033647375504710635,0.6060973236096238
FLAT,experience_based,3,0.6195101351351351,0.025827814569536423,0.5977356771664831
FLAT,experience_based,4,0.6255843603909902,0.04882260596546311,0.6297140535398398
FLAT,experience_based,5,0.6220666941128036,0.04247933884297521,0.6078150630706343
FLAT,experience_based,6,0.6363636363636364,0.03735317149569303,0.5900801673257859
FLAT,experience_based,7,0.6140275387263339,0.05068702290076336,0.6192527683828992
FLAT,experience_based,8,0.5916666666666667,0.053602115003304696,0.621042730317866
FLAT,experience_based,9,0.5805152979066023,0.043896891584533734,0.6413451032277012
FLAT,experience_based,10,0.605433901054339,0.04758871701546861,0.6220704095262011
FLAT,experience_based,11,0.5919899874843555,0.04501930501930502,0.6423704049281731
FLAT,experience_based,12,0.6081370449678801,0.04420015163002274,0.6379057943181123
FLAT,experience_based,13,0.6031941031941032,0.040074906367041196,0.6147035837845923
FLAT,experience_based,14,0.6163048294195835,0.047724137931034485,0.6173312492699338
