layer,scenario,seed,fail_rate,domain_gini,researcher_gini,mean_reputation
L1_base,SPEC,1,0.6550308008213552,0.13639607493309547,0.4564674397859054,7.872877546017887
L1_base,SPEC,7,0.5920454545454545,0.16043046357615887,0.47619205298013245,8.366362429665735
L1_base,SPEC,9,0.6054590570719603,0.13290043290043285,0.4622164502164503,8.105787245780316
L1_base,SPEC,8,0.5981308411214953,0.1345525291828793,0.4449773683792584,9.246095520261253
L1_base,SPEC,5,0.5960365853658537,0.16284470246734384,0.46992091466485,9.538179613074652
L1_base,SPEC,3,0.5776293823038398,0.15600558659217878,0.4846083684870597,10.016581192136684
L1_base,SPEC,2,0.6164772727272727,0.11895522388059687,0.47185074626865675,9.298287075062527
L1_base,SPEC,0,0.6263269639065817,0.10864111498257834,0.4922787456445994,10.168133117778549
L1_base,SPEC,4,0.6411764705882353,0.11698113207547167,0.46572327044025164,9.427312275552513
L1_base,SPEC,6,0.622093023255814,0.13273657289002538,0.4246307218539589,11.198881803521648
L1_base,SPEC,10,0.5541264737406216,0.1399999999999999,0.48719248826291084,7.514530953910224
L1_base,GEN,1,0.643603133159269,0.08356164383561637,0.4686575342465753,7.6082188087111176
L1_base,SPEC,12,0.5975609756097561,0.09169811320754717,0.473438582980362,9.088544383303974
L1_base,SPEC,11,0.654434250764526,0.10878809355067309,0.4672572643515238,10.014620138190912
L1_base,SPEC,13,0.6164772727272727,0.11951975213013166,0.5154681547289715,9.075175577273056
L1_base,GEN,3,0.6090750436300174,0.09946855624446393,0.4879185119574845,8.098705032302632
L1_base,GEN,0,0.6199551569506726,0.04088729016786563,0.4777937649880095,11.489525782888341
L1_base,GEN,2,0.632251720747296,0.08713998660415267,0.48831964131935424,10.260243989171824
L1_base,SPEC,14,0.5954198473282443,0.14173486088379694,0.43071467539552644,9.157104035421954
L1_base,GEN,7,0.5663265306122449,0.09965247610773242,0.49876770864731634,7.871064284230954
L1_base,GEN,4,0.6146788990825688,0.06948700866089275,0.4915789473684211,10.741013804316905
L1_base,GEN,5,0.6092278719397364,0.10079522862823054,0.4896868787276343,10.25282338064941
L1_base,GEN,12,0.6287262872628726,0.09147224456958969,0.5257441673370877,8.436175200753794
L1_base,GEN,9,0.6373526745240253,0.08501483679525212,0.47115727002967356,9.94005984654946
L1_base,GEN,13,0.6311941510966693,0.10227272727272729,0.4877272727272728,8.247656330917044
L1_base,GEN,11,0.6062091503267973,0.08401102687801498,0.46953824948311507,10.397474024124925
L1_base,GEN,8,0.5813953488372093,0.06210847975553846,0.45003819709702064,9.632473142251
L1_base,GEN,10,0.5502183406113537,0.08321995464852594,0.45385410399987647,9.485878542664
L1_base,GEN,6,0.6102783725910065,0.10433355219960605,0.4887327642810242,11.158241221640903
L1_base,GEN,14,0.5915750915750916,0.07785714285714285,0.46892857142857136,8.056793450131982
L2_realism,SPEC,1,0.6,0.14115702479338843,0.4395371900826446,8.94939077414303
L2_realism,SPEC,2,0.594059405940594,0.1590875093492894,0.4588930441286463,9.978657392680603
L2_realism,SPEC,7,0.6008010680907877,0.17567975830815707,0.45283987915407864,10.123232382754901
L2_realism,SPEC,0,0.6524590163934426,0.12564102564102564,0.3994326475529484,11.55224925223228
L2_realism,SPEC,5,0.5636792452830188,0.1714376187460418,0.4093781907950007,11.906448042944689
L2_realism,SPEC,3,0.5883668903803132,0.1479897894065092,0.44037013401403957,11.744363400980587
L2_realism,SPEC,4,0.6260387811634349,0.12294573643410844,0.39221642145230184,10.40123506093795
L2_realism,SPEC,9,0.641860465116279,0.16109857035364916,0.42316027088036123,10.29696014983967
L2_realism,SPEC,6,0.6,0.15728155339805827,0.39533980582524264,11.37813458449353
L2_realism,SPEC,8,0.6468926553672316,0.15483443708609257,0.39510744695229083,11.766037161645107
L2_realism,SPEC,10,0.5965996908809892,0.1626099706744868,0.4298826979472141,10.19658394844089
L2_realism,SPEC,12,0.6601123595505618,0.12101396032329159,0.41900073475385735,10.51882268304469
L2_realism,SPEC,11,0.652027027027027,0.10760028149190703,0.40854327938071777,10.898789005332015
L2_realism,GEN,1,0.6325411334552102,0.07717810331534292,0.4130609097918272,10.151641283754937
L2_realism,SPEC,14,0.5809935205183585,0.16642857142857137,0.40877551020408154,10.81542302228879
L2_realism,GEN,0,0.6133122028526149,0.07294281729428165,0.4323001166993994,11.09067930602921
L2_realism,SPEC,13,0.6203090507726269,0.13687230989956944,0.4127403156384506,10.882425971335572
L2_realism,GEN,3,0.5766345123258306,0.06957746478873239,0.4069859154929578,10.633779027165794
L2_realism,GEN,2,0.5261194029850746,0.07825159914712154,0.38545842217484005,11.222535174485563
L2_realism,GEN,5,0.5989304812834224,0.08999341672152728,0.45320605661619484,11.528926835033598
L2_realism,GEN,4,0.6091205211726385,0.0911169170476811,0.43640757674722397,11.94912264085891
L2_realism,GEN,12,0.6186144156752974,0.08747026169706573,0.4279936558287074,9.277018926761597
L2_realism,GEN,9,0.6184909670563231,0.07657913413768624,0.41060326472675657,10.942580020112358
L2_realism,GEN,7,0.5663956639566395,0.13155555555555543,0.4284148148148148,10.72624432490946
L2_realism,GEN,13,0.6248872858431019,0.09641943734015346,0.40018755328218236,8.988367667180263
L2_realism,GEN,11,0.6145741878841089,0.048443843031123146,0.46633288227334235,11.053841281879949
L2_realism,GEN,8,0.6138613861386139,0.047224126113776466,0.4400685400959561,11.3937980448295
L2_realism,GEN,10,0.5335648148148148,0.10321637426900576,0.42198830409356725,10.444193415343776
L2_realism,GEN,6,0.5882352941176471,0.07230769230769218,0.39188923076923077,12.913969198466985
L2_realism,GEN,14,0.6057298772169167,0.07077217613273756,0.43957881301850676,11.999078411542474
L3_full,SPEC,1,0.640625,0.14433734939759035,0.43760642570281116,9.908475645831157
L3_full,SPEC,0,0.5845272206303725,0.13501639344262295,0.3855606557377049,12.13759792244918
L3_full,SPEC,7,0.5524861878453039,0.1847335140018065,0.4628906955736223,8.291478778484716
L3_full,SPEC,5,0.6148359486447932,0.1725506072874492,0.4398542510121457,9.449840252806533
