label,seed,winning_domain,winning_domain_mean_skill,init_lab_count_on_winner,labs_converged_on_winner,non_initial_labs,non_initial_converged,cosine_sim_mean,cosine_sim_std
PEAKED,24,2,0.5695918775779479,1,8,9,7,0.9658409548453484,0.026170396997665064
PEAKED,25,4,0.5555448695530432,1,6,9,5,0.9374610801695131,0.03759997500941562
PEAKED,26,5,0.6350430939625601,1,9,9,8,0.9572877519141357,0.031821711473820055
PEAKED,27,7,0.6785565993277897,3,9,7,6,0.9802821963919094,0.01356162321823038
PEAKED,28,4,0.6374978641056209,2,8,8,7,0.9709224982364811,0.028990695714739657
PEAKED,29,0,0.5183128882357643,2,3,8,1,0.9424733126869328,0.042931255401445385
BROAD,0,6,0.45834562045542965,1,9,9,8,0.9628951270115828,0.021273371884011325
BROAD,1,4,0.3867707281517908,4,5,6,4,0.9720726328860054,0.014341829320335413
BROAD,2,4,0.44895727076107306,1,8,9,7,0.972368658424865,0.017548110523620868
BROAD,3,1,0.49540957839661565,1,10,9,9,0.9734552955550861,0.015501629450004743
BROAD,4,6,0.5037770045678414,1,10,9,9,0.9838415481997936,0.009205225759287873
BROAD,5,4,0.4546662706846575,1,9,9,8,0.9729919154540444,0.01704210604237131
BROAD,6,1,0.481268470110804,2,7,8,6,0.9723250050352088,0.018113437469511207
BROAD,7,3,0.468208167304231,2,5,8,3,0.9824785069258826,0.009774175018185763
BROAD,8,0,0.519314429403209,2,10,8,8,0.9725375854502984,0.019042231882291823
BROAD,9,1,0.4699683905369254,3,8,7,6,0.9752996621898693,0.015539011797454124
BROAD,10,1,0.45765439747492975,2,9,8,7,0.9732462714326046,0.01560717693764087
BROAD,11,2,0.5062529180235427,2,10,8,8,0.9787368266139915,0.011209760103726861
BROAD,12,7,0.4757347950049959,1,7,9,6,0.9793212295782531,0.010538910811587284
BROAD,13,5,0.4840510589319096,3,10,7,7,0.978390747499349,0.012839724073337453
BROAD,14,1,0.4111697258951317,3,7,7,5,0.9775736741573133,0.013938683060101518
BROAD,15,1,0.39191559229690676,1,6,9,5,0.9700005634506157,0.01778009003910868
BROAD,16,4,0.36743907420506405,2,4,8,3,0.9747986412456766,0.014710116316994152
BROAD,17,6,0.4400686032278657,2,9,8,7,0.9698672365896333,0.014293936062517894
BROAD,18,9,0.41915462688169447,1,9,9,8,0.9735110814087922,0.016329100954802084
BROAD,19,0,0.44374760894962423,1,6,9,5,0.9784499497568842,0.012895529865347099
BROAD,20,4,0.46816611023675486,1,10,9,9,0.9723559738594586,0.014339098312852646
BROAD,21,1,0.43241629348476357,1,6,9,5,0.9722803581412236,0.016720224266544723
BROAD,22,9,0.4913597284907383,1,7,9,6,0.9736073930598971,0.017164900563185686
BROAD,23,5,0.38812839271998123,1,6,9,5,0.980287626285441,0.01181403963166665
BROAD,24,2,0.4250318117712417,2,6,8,5,0.9764337168139479,0.01487283185375361
BROAD,25,0,0.516083249915871,3,10,7,7,0.9702391686874988,0.020588593308712367
BROAD,26,5,0.4948679819328852,1,10,9,9,0.9582020217050822,0.03284969461552254
BROAD,27,7,0.42661678655006363,3,5,7,4,0.975563335361885,0.016330281516781793
BROAD,28,5,0.43453934563654273,1,8,9,7,0.9744035203208687,0.015060035745216752
BROAD,29,5,0.4059106779651794,1,6,9,5,0.9586597709346787,0.028895880383037774
FLAT,0,2,0.36649975466746226,2,5,8,3,0.9743655293362472,0.014676673911625533
FLAT,1,3,0.35020194367646984,2,3,8,2,0.9600028133657372,0.023026586372216426
FLAT,2,1,0.3674624108920071,3,4,7,2,0.9684405048878996,0.01710474937182435
FLAT,3,9,0.38956720754991475,2,7,8,6,0.972908195229434,0.015091480537518714
FLAT,4,9,0.35497682492710403,1,1,9,1,0.9743321876944626,0.013620519290626706
FLAT,5,9,0.3589147445258658,1,2,9,1,0.97750851529031,0.011736676772948306
FLAT,6,4,0.3421342374384657,1,4,9,3,0.9628727357258737,0.023218346135325755
FLAT,7,5,0.3626158536019091,1,3,9,3,0.9778947656959633,0.013614284986585398
FLAT,8,2,0.3420585264968735,1,2,9,2,0.9551805905494821,0.026727364045028155
FLAT,9,4,0.3652366188280215,0,4,10,4,0.9724194315267388,0.01682852433021701
FLAT,10,7,0.455813985156807,2,10,8,8,0.9627895305765053,0.023199406005915517
FLAT,11,9,0.3655811107193589,1,3,9,3,0.9720781172274718,0.01428884126939406
FLAT,12,4,0.39000580385077827,0,6,10,6,0.9680864566074527,0.020286360325017957
FLAT,13,6,0.4061117495296156,0,6,10,6,0.9699641438175423,0.016160519234673397
FLAT,14,2,0.36392793237727106,0,4,10,4,0.9697547444035755,0.019520678868035407
FLAT,15,7,0.36030478893720114,1,0,9,0,0.971089188153622,0.017234733230985302
FLAT,16,5,0.33638621458044476,1,4,9,3,0.9638475272226253,0.021947623775624637
FLAT,17,9,0.37288267284411153,0,3,10,3,0.9769179834358052,0.012999500081605449
