label,seed,step,mean_skill,peak_skill
PEAKED,0,0,0.31381370691730937,0.6737055589050602
PEAKED,0,50,0.3293432853314603,0.6783944967958006
PEAKED,0,100,0.3475871770860056,0.6746921645753475
PEAKED,0,150,0.36028712471740504,0.6560881374861206
PEAKED,0,200,0.3667111106189972,0.633856519238772
PEAKED,0,250,0.37398074773102485,0.6208467055325932
PEAKED,0,300,0.3834094519901025,0.5980157687707525
PEAKED,1,0,0.31233359854294945,0.6828639279224555
PEAKED,1,50,0.32696770789045415,0.6920421182466745
PEAKED,1,100,0.34768760528524295,0.6888375537483088
PEAKED,1,150,0.3649894353850065,0.6805147519301918
PEAKED,1,200,0.3751700477277244,0.6519950903610449
PEAKED,1,250,0.3873612713651656,0.6371357827309317
PEAKED,1,300,0.4000419298337748,0.6270488130908505
PEAKED,2,0,0.31672933237410267,0.6810989179903062
PEAKED,2,50,0.33279165896313884,0.6785976377223879
PEAKED,2,100,0.3538552220183889,0.6739304904225625
PEAKED,2,150,0.36910141093451215,0.6530499135211927
PEAKED,2,200,0.38250407225614097,0.6279556787873322
PEAKED,2,250,0.3962108571381434,0.6075753329356866
PEAKED,2,300,0.4029844628617565,0.6021083290272428
PEAKED,3,0,0.3271052024375074,0.7257067689568575
PEAKED,3,50,0.346219531299583,0.7366583687774625
PEAKED,3,100,0.3690539766534347,0.7337966998712038
PEAKED,3,150,0.38568130360364367,0.7282119966884197
PEAKED,3,200,0.3949238591504236,0.7115677099416505
PEAKED,3,250,0.4054385517845842,0.6773496039965066
PEAKED,3,300,0.41601184061390495,0.6662995985263908
PEAKED,4,0,0.3289168226737362,0.7334812318504937
PEAKED,4,50,0.3413720267616086,0.7249923659197879
PEAKED,4,100,0.36046705828033043,0.7189679611827511
PEAKED,4,150,0.37760533787624906,0.7099508829266818
PEAKED,4,200,0.3852178219014459,0.6776366440489922
PEAKED,4,250,0.391975285710472,0.6460888326480485
PEAKED,4,300,0.40487348094404674,0.6360727057946138
PEAKED,5,0,0.31796130513265586,0.6781457821154874
PEAKED,5,50,0.3290579269767702,0.6769845784891187
PEAKED,5,100,0.34471992488277464,0.6662735938623663
PEAKED,5,150,0.35820081950582394,0.6591391378320194
PEAKED,5,200,0.36619767551853694,0.6523913107161197
PEAKED,5,250,0.3831480964033475,0.6467654776760041
PEAKED,5,300,0.3943264041540959,0.6365208656061754
PEAKED,6,0,0.3138439430587293,0.7066284715350963
PEAKED,6,50,0.32939019802741354,0.7048948928438498
PEAKED,6,100,0.34620020046329764,0.6900083633143757
PEAKED,6,150,0.36288442689920564,0.6734490540916812
