label,mode,seed,step,fail_rate,attempts,failures
PEAKED,default_cull,14,100,0.5771428571428572,175,101
PEAKED,default_cull,14,150,0.5595854922279793,193,108
PEAKED,default_cull,14,200,0.5588235294117647,238,133
PEAKED,default_cull,14,250,0.5428571428571428,315,171
PEAKED,default_cull,14,300,0.48735632183908045,435,212
PEAKED,no_cull,0,25,0.5945945945945946,111,66
PEAKED,no_cull,0,50,0.5833333333333334,120,70
PEAKED,no_cull,0,100,0.5615384615384615,130,73
PEAKED,no_cull,0,150,0.5615384615384615,130,73
PEAKED,no_cull,0,200,0.5615384615384615,130,73
PEAKED,no_cull,0,250,0.5615384615384615,130,73
PEAKED,no_cull,0,300,0.5615384615384615,130,73
PEAKED,no_cull,1,25,0.559322033898305,118,66
PEAKED,no_cull,1,50,0.5714285714285714,133,76
PEAKED,no_cull,1,100,0.5804195804195804,143,83
PEAKED,no_cull,1,150,0.5866666666666667,150,88
PEAKED,no_cull,1,200,0.5900621118012422,161,95
PEAKED,no_cull,1,250,0.5754716981132075,212,122
PEAKED,no_cull,1,300,0.5030674846625767,489,246
PEAKED,no_cull,2,25,0.7049180327868853,122,86
PEAKED,no_cull,2,50,0.6870748299319728,147,101
PEAKED,no_cull,2,100,0.6785714285714286,168,114
PEAKED,no_cull,2,150,0.6744186046511628,172,116
PEAKED,no_cull,2,200,0.6759776536312849,179,121
PEAKED,no_cull,2,250,0.6759776536312849,179,121
PEAKED,no_cull,2,300,0.6758241758241759,182,123
PEAKED,no_cull,3,25,0.6027397260273972,73,44
PEAKED,no_cull,3,50,0.5853658536585366,82,48
PEAKED,no_cull,3,100,0.5882352941176471,85,50
PEAKED,no_cull,3,150,0.5842696629213483,89,52
PEAKED,no_cull,3,200,0.5760869565217391,92,53
PEAKED,no_cull,3,250,0.5806451612903226,93,54
PEAKED,no_cull,3,300,0.5806451612903226,93,54
PEAKED,no_cull,4,25,0.6779661016949152,118,80
PEAKED,no_cull,4,50,0.6592592592592592,135,89
PEAKED,no_cull,4,100,0.6527777777777778,144,94
PEAKED,no_cull,4,150,0.6381578947368421,152,97
PEAKED,no_cull,4,200,0.6282051282051282,156,98
PEAKED,no_cull,4,250,0.6282051282051282,156,98
PEAKED,no_cull,4,300,0.6242038216560509,157,98
PEAKED,no_cull,5,25,0.6634615384615384,104,69
PEAKED,no_cull,5,50,0.6515151515151515,132,86
PEAKED,no_cull,5,100,0.6428571428571429,140,90
PEAKED,no_cull,5,150,0.6433566433566433,143,92
PEAKED,no_cull,5,200,0.6462585034013606,147,95
PEAKED,no_cull,5,250,0.6462585034013606,147,95
PEAKED,no_cull,5,300,0.6418918918918919,148,95
PEAKED,no_cull,6,25,0.7969924812030075,133,106
PEAKED,no_cull,6,50,0.7514792899408284,169,127
PEAKED,no_cull,6,100,0.7386363636363636,176,130
PEAKED,no_cull,6,150,0.73224043715847,183,134
PEAKED,no_cull,6,200,0.723404255319149,188,136
PEAKED,no_cull,6,250,0.7150259067357513,193,138
PEAKED,no_cull,6,300,0.7091836734693877,196,139
PEAKED,no_cull,7,25,0.6257668711656442,163,102
PEAKED,no_cull,7,50,0.6368159203980099,201,128
PEAKED,no_cull,7,100,0.6285714285714286,210,132
PEAKED,no_cull,7,150,0.6342592592592593,216,137
PEAKED,no_cull,7,200,0.6278026905829597,223,140
PEAKED,no_cull,7,250,0.6278026905829597,223,140
PEAKED,no_cull,7,300,0.625,224,140
PEAKED,no_cull,8,25,0.6292134831460674,89,56
PEAKED,no_cull,8,50,0.6262626262626263,99,62
PEAKED,no_cull,8,100,0.6336633663366337,101,64
PEAKED,no_cull,8,150,0.6296296296296297,108,68
PEAKED,no_cull,8,200,0.6296296296296297,108,68
PEAKED,no_cull,8,250,0.6296296296296297,108,68
PEAKED,no_cull,8,300,0.6363636363636364,110,70
PEAKED,no_cull,9,25,0.572463768115942,138,79
PEAKED,no_cull,9,50,0.5641025641025641,195,110
PEAKED,no_cull,9,100,0.5571428571428572,210,117
PEAKED,no_cull,9,150,0.5630630630630631,222,125
PEAKED,no_cull,9,200,0.562992125984252,254,143
PEAKED,no_cull,9,250,0.5210643015521065,451,235
PEAKED,no_cull,9,300,0.43979721166032953,789,347
PEAKED,no_cull,10,25,0.75,116,87
PEAKED,no_cull,10,50,0.7481481481481481,135,101
PEAKED,no_cull,10,100,0.7569444444444444,144,109
PEAKED,no_cull,10,150,0.7419354838709677,155,115
PEAKED,no_cull,10,200,0.7452229299363057,157,117
PEAKED,no_cull,10,250,0.7391304347826086,161,119
PEAKED,no_cull,10,300,0.7361963190184049,163,120
PEAKED,no_cull,11,25,0.6804123711340206,97,66
PEAKED,no_cull,11,50,0.6491228070175439,114,74
PEAKED,no_cull,11,100,0.6440677966101694,118,76
PEAKED,no_cull,11,150,0.6446280991735537,121,78
PEAKED,no_cull,11,200,0.6475409836065574,122,79
PEAKED,no_cull,11,250,0.6475409836065574,122,79
PEAKED,no_cull,11,300,0.6504065040650406,123,80
PEAKED,no_cull,12,25,0.7043478260869566,115,81
PEAKED,no_cull,12,50,0.6934306569343066,137,95
PEAKED,no_cull,12,100,0.6934306569343066,137,95
PEAKED,no_cull,12,150,0.7103448275862069,145,103
PEAKED,no_cull,12,200,0.7133333333333334,150,107
PEAKED,no_cull,12,250,0.7058823529411765,153,108
PEAKED,no_cull,12,300,0.6868131868131868,182,125
PEAKED,no_cull,13,25,0.5555555555555556,81,45
PEAKED,no_cull,13,50,0.5274725274725275,91,48
PEAKED,no_cull,13,100,0.5567010309278351,97,54
PEAKED,no_cull,13,150,0.5673076923076923,104,59
PEAKED,no_cull,13,200,0.5555555555555556,108,60
PEAKED,no_cull,13,250,0.5652173913043478,115,65
PEAKED,no_cull,13,300,0.5546875,128,71
PEAKED,no_cull,14,25,0.6137931034482759,145,89
PEAKED,no_cull,14,50,0.6086956521739131,161,98
PEAKED,no_cull,14,100,0.6206896551724138,174,108
PEAKED,no_cull,14,150,0.615819209039548,177,109
PEAKED,no_cull,14,200,0.6077348066298343,181,110
PEAKED,no_cull,14,250,0.6063829787234043,188,114
PEAKED,no_cull,14,300,0.5961538461538461,208,124
BROAD,default_cull,0,25,0.746031746031746,189,141
BROAD,default_cull,0,50,0.7217391304347827,345,249
BROAD,default_cull,0,100,0.6889763779527559,508,350
BROAD,default_cull,0,150,0.6924265842349304,647,448
BROAD,default_cull,0,200,0.6914016489988222,849,587
BROAD,default_cull,0,250,0.6939146230699365,1101,764
BROAD,default_cull,0,300,0.6770682148040639,1378,933
BROAD,default_cull,1,25,0.7733990147783252,203,157
BROAD,default_cull,1,50,0.7673130193905817,361,277
BROAD,default_cull,1,100,0.7200674536256324,593,427
BROAD,default_cull,1,150,0.7084826762246117,837,593
BROAD,default_cull,1,200,0.6903114186851211,1156,798
BROAD,default_cull,1,250,0.6737541528239203,1505,1014
BROAD,default_cull,1,300,0.667932718393923,1843,1231
BROAD,default_cull,2,25,0.7258064516129032,186,135
BROAD,default_cull,2,50,0.6915254237288135,295,204
BROAD,default_cull,2,100,0.6737967914438503,374,252
BROAD,default_cull,2,150,0.6636155606407322,437,290
BROAD,default_cull,2,200,0.65,520,338
BROAD,default_cull,2,250,0.6339410939691444,713,452
BROAD,default_cull,2,300,0.6147368421052631,950,584
BROAD,default_cull,3,25,0.7165354330708661,127,91
BROAD,default_cull,3,50,0.722972972972973,148,107
BROAD,default_cull,3,100,0.7076923076923077,195,138
BROAD,default_cull,3,150,0.7012987012987013,231,162
BROAD,default_cull,3,200,0.6776315789473685,304,206
BROAD,default_cull,3,250,0.6651785714285714,448,298
BROAD,default_cull,3,300,0.6464,625,404
BROAD,default_cull,4,25,0.7368421052631579,133,98
BROAD,default_cull,4,50,0.7159090909090909,176,126
BROAD,default_cull,4,100,0.7,240,168
BROAD,default_cull,4,150,0.6788079470198676,302,205
BROAD,default_cull,4,200,0.6622222222222223,450,298
BROAD,default_cull,4,250,0.646969696969697,660,427
BROAD,default_cull,4,300,0.624868282402529,949,593
BROAD,default_cull,5,25,0.7634408602150538,186,142
BROAD,default_cull,5,50,0.7407407407407407,297,220
BROAD,default_cull,5,100,0.727735368956743,393,286
BROAD,default_cull,5,150,0.7084805653710248,566,401
BROAD,default_cull,5,200,0.696969696969697,825,575
BROAD,default_cull,5,250,0.6820603907637656,1126,768
BROAD,default_cull,5,300,0.6823697359029265,1401,956
BROAD,default_cull,6,25,0.7321428571428571,168,123
BROAD,default_cull,6,50,0.7333333333333333,270,198
BROAD,default_cull,6,100,0.7118155619596542,347,247
BROAD,default_cull,6,150,0.7274590163934426,488,355
BROAD,default_cull,6,200,0.7009472259810555,739,518
BROAD,default_cull,6,250,0.6783681214421252,1054,715
BROAD,default_cull,6,300,0.6543478260869565,1380,903
BROAD,default_cull,7,25,0.65625,160,105
BROAD,default_cull,7,50,0.6504854368932039,206,134
BROAD,default_cull,7,100,0.6506024096385542,249,162
BROAD,default_cull,7,150,0.6470588235294118,306,198
BROAD,default_cull,7,200,0.6162280701754386,456,281
BROAD,default_cull,7,250,0.6078167115902965,742,451
BROAD,default_cull,7,300,0.5954631379962193,1058,630
BROAD,default_cull,8,25,0.6754966887417219,151,102
BROAD,default_cull,8,50,0.6682926829268293,205,137
BROAD,default_cull,8,100,0.6680161943319838,247,165
BROAD,default_cull,8,150,0.656934306569343,274,180
BROAD,default_cull,8,200,0.6209476309226932,401,249
BROAD,default_cull,8,250,0.6024518388791593,571,344
BROAD,default_cull,8,300,0.596537949400799,751,448
BROAD,default_cull,9,25,0.7171717171717171,198,142
BROAD,default_cull,9,50,0.6904761904761905,336,232
BROAD,default_cull,9,100,0.696652719665272,478,333
BROAD,default_cull,9,150,0.6646706586826348,668,444
BROAD,default_cull,9,200,0.6540948275862069,928,607
BROAD,default_cull,9,250,0.6511824324324325,1184,771
BROAD,default_cull,9,300,0.635743519781719,1466,932
BROAD,default_cull,10,25,0.6958762886597938,194,135
