param,level,label,seed,fail_rate,gini,mean_reputation
alpha,0.075,FLAT,2,0.7274187073464472,0.07999999999999985,4.659829058371137
alpha,0.075,FLAT,3,0.7096903900281464,0.05801825293350715,5.164519997054295
alpha,0.075,FLAT,4,0.7017543859649122,0.04954128440366956,6.091151340119584
alpha,0.075,FLAT,5,0.7131083202511774,0.08212765957446799,4.748281752942368
alpha,0.075,FLAT,6,0.6994035785288271,0.06380952380952376,3.995836660036147
alpha,0.075,FLAT,7,0.7218838814453918,0.033759590792838745,5.41528739114621
alpha,0.1,PEAKED,0,0.5934579439252337,0.06630934150076562,16.38424881901965
alpha,0.1,PEAKED,1,0.6145038167938931,0.05792736935340992,18.50795174392139
alpha,0.1,PEAKED,2,0.628,0.05267986479961362,16.979007267831584
alpha,0.1,PEAKED,3,0.6130653266331658,0.07409274193548376,16.51440276581258
alpha,0.1,PEAKED,4,0.5927272727272728,0.07203267659778945,17.23705783089401
alpha,0.1,PEAKED,5,0.6844262295081968,0.06873315363881383,17.74840615178339
alpha,0.1,PEAKED,6,0.6352459016393442,0.05936883629191314,16.819009375123464
alpha,0.1,PEAKED,7,0.6608996539792388,0.07735498839907184,17.5699953658446
alpha,0.1,BROAD,0,0.6871227364185111,0.06510144927536232,14.003119376899432
alpha,0.1,BROAD,1,0.6644549763033175,0.06580766813324934,12.942082724477846
alpha,0.1,BROAD,2,0.6526479750778816,0.054922538730634685,16.400111573781313
alpha,0.1,BROAD,3,0.6752136752136753,0.05933232169954472,15.961357680013773
alpha,0.1,BROAD,4,0.6346456692913386,0.06733780760626384,14.623430212046872
alpha,0.1,BROAD,5,0.6610526315789473,0.05195599022004882,13.18460141202087
alpha,0.1,BROAD,6,0.6146881287726358,0.06609625668449182,14.802838648476202
alpha,0.1,BROAD,7,0.6548672566371682,0.05740072202166058,15.862996376279346
alpha,0.1,FLAT,0,0.7153692614770459,0.035567010309278224,5.164744821341388
alpha,0.1,FLAT,1,0.6906812842599843,0.0672937771345874,4.342578663859481
alpha,0.1,FLAT,2,0.7204472843450479,0.04974093264248691,4.9205793415744745
alpha,0.1,FLAT,3,0.7189465408805031,0.041768707482993106,4.78059178487047
alpha,0.1,FLAT,4,0.7102952913008779,0.04925373134328348,4.610382293909736
alpha,0.1,FLAT,5,0.726232741617357,0.04791366906474814,4.675937682011539
alpha,0.1,FLAT,6,0.7145141943222711,0.07313432835820888,5.248338821476225
alpha,0.1,FLAT,7,0.7083503054989817,0.07433035714285707,6.401799951363809
alpha,0.15,PEAKED,0,0.6574585635359116,0.061660686827267996,16.426712666212538
alpha,0.15,PEAKED,1,0.6410256410256411,0.05852451641925316,18.268417305322306
alpha,0.15,PEAKED,2,0.5925925925925926,0.06537396121883643,17.807802612877293
alpha,0.15,PEAKED,3,0.5396039603960396,0.08767507002801112,17.319069707184372
alpha,0.15,PEAKED,4,0.6029411764705882,0.08245307725883877,18.867346994734152
alpha,0.15,PEAKED,5,0.5961538461538461,0.05811881188118795,16.867230157531065
alpha,0.15,PEAKED,6,0.6551724137931034,0.06347909658817863,17.335686154205533
alpha,0.15,PEAKED,7,0.667953667953668,0.04395253308991309,18.252869762723932
alpha,0.15,BROAD,0,0.6481665014866204,0.05507088331515808,14.717105112234817
alpha,0.15,BROAD,1,0.6696146557169931,0.06839762611275946,10.74838026434314
alpha,0.15,BROAD,2,0.6573604060913706,0.05117466802860049,15.832393429460291
alpha,0.15,BROAD,3,0.630648330058939,0.05863013698630137,17.31364586383969
alpha,0.15,BROAD,4,0.6184738955823293,0.07218205019140789,18.7068963250165
alpha,0.15,BROAD,5,0.5909090909090909,0.08306264501160077,14.11802194972477
alpha,0.15,BROAD,6,0.58603066439523,0.03568406205923824,16.966974738467872
alpha,0.15,BROAD,7,0.6152954808806489,0.07328727691421988,14.000117157056122
alpha,0.15,FLAT,0,0.7128392061563386,0.057783018867924474,5.784325989868526
alpha,0.15,FLAT,1,0.7068965517241379,0.04325908558030478,5.6270116272396145
alpha,0.15,FLAT,2,0.7162324649298597,0.056611039794608464,5.121411026314202
alpha,0.15,FLAT,3,0.707810602994739,0.040855106888360915,5.845193599902284
alpha,0.15,FLAT,4,0.7275653923541248,0.0407022106631989,5.298424879588007
alpha,0.15,FLAT,5,0.7089733225545675,0.03422007255139059,5.41580562355598
alpha,0.15,FLAT,6,0.693801652892562,0.04834437086092702,6.050634783650832
alpha,0.15,FLAT,7,0.7166799680766162,0.04596100278551529,4.804928117591456
alpha,0.2,PEAKED,0,0.625,0.08668568711364699,17.60266105832164
alpha,0.2,PEAKED,1,0.6531531531531531,0.08021266759130818,18.10270723621433
alpha,0.2,PEAKED,2,0.6096654275092936,0.06446124763705097,17.515095640111717
alpha,0.2,PEAKED,3,0.555,0.055266821345707484,17.823111524645356
alpha,0.2,PEAKED,4,0.569811320754717,0.05199275362318834,18.298178588334096
alpha,0.2,PEAKED,5,0.5723684210526315,0.048737494044783114,17.317120420998105
alpha,0.2,PEAKED,6,0.6088560885608856,0.06621490803484997,17.439578174359834
alpha,0.2,PEAKED,7,0.5923566878980892,0.05537027954879825,17.093182399450768
alpha,0.2,BROAD,0,0.6711281070745698,0.05873374788015817,14.111554569351178
alpha,0.2,BROAD,1,0.6887218045112782,0.05151148730350652,13.116724563294886
alpha,0.2,BROAD,2,0.6890243902439024,0.05699132111861127,16.65329870967659
alpha,0.2,BROAD,3,0.665158371040724,0.05956926089084669,16.733797565255784
alpha,0.2,BROAD,4,0.6300148588410104,0.05920293654955411,15.211492968921455
alpha,0.2,BROAD,5,0.6635730858468677,0.043240343347639376,14.798848199306901
alpha,0.2,BROAD,6,0.6306068601583114,0.06390745501285333,15.821508839505174
alpha,0.2,BROAD,7,0.6601671309192201,0.07120237506185045,16.640650368726902
alpha,0.2,FLAT,0,0.7174515235457064,0.0534320323014803,5.033757168149166
alpha,0.2,FLAT,1,0.7172413793103448,0.06197352587244276,5.904254538438046
alpha,0.2,FLAT,2,0.7319461444308446,0.06363636363636349,6.117278084501217
alpha,0.2,FLAT,3,0.7135437475029964,0.05592783505154619,5.242522300239674
alpha,0.2,FLAT,4,0.7001185302252074,0.09366391184572986,4.7860742156518405
alpha,0.2,FLAT,5,0.739216462208152,0.05254237288135588,4.664499063782702
alpha,0.2,FLAT,6,0.713943268078306,0.05546334716459178,4.758699103575134
alpha,0.2,FLAT,7,0.7078838174273859,0.0645536869340233,5.481421434929547
beta,1.5,PEAKED,0,0.5661016949152542,0.08565297363580626,13.69448339696553
beta,1.5,PEAKED,1,0.5964912280701754,0.05982042648709296,14.614946067051482
beta,1.5,PEAKED,2,0.604982206405694,0.062333911034084366,14.265083377365231
beta,1.5,PEAKED,3,0.6149068322981367,0.06691973969631237,15.138522392268396
beta,1.5,PEAKED,4,0.5191082802547771,0.09810426540284345,15.258976988767499
beta,1.5,PEAKED,5,0.624031007751938,0.0684089603676048,14.43686524220416
beta,1.5,PEAKED,6,0.6161290322580645,0.04896291640477668,13.250923530608281
beta,1.5,PEAKED,7,0.658307210031348,0.050939457202505034,15.467147927410036
beta,1.5,BROAD,0,0.6932067202337473,0.04731494920174151,10.89031909923504
