mode,label,seed,fail_rate,gini,mean_reputation,exploit_frac,explore_frac,train_frac,n_models
A,PEAKED,0,0.512396694214876,0.10230040595399181,12.328071049767345,0.09111021721641191,0.27815768302493965,0.6307320997586484,4182
A,PEAKED,1,0.514018691588785,0.16047516198704104,10.962797953421246,0.16626441405202466,0.25107267363904534,0.58266291230893,3767
A,PEAKED,2,0.580952380952381,0.11462205700123906,12.934669588581771,0.11531241619737195,0.27071600965406273,0.6139715741485653,4067
A,PEAKED,3,0.5175097276264592,0.1705716302046576,11.468581921960242,0.09875301689460982,0.278626977742022,0.6226200053633681,4189
A,PEAKED,4,0.6028368794326241,0.11973407977606709,11.658110145846209,0.10116653258246179,0.2676991150442478,0.6311343523732904,4013
A,PEAKED,5,0.6026200873362445,0.09453630481667852,11.597768378725839,0.08440600697237866,0.27996781979082863,0.6356261732367927,4199
A,PEAKED,6,0.6505681818181818,0.14753495217071366,11.161404004787087,0.12349155269509252,0.25603378921962994,0.6204746580852776,3851
A,PEAKED,7,0.5919395465994962,0.1345120226308345,11.343479162712622,0.1430678466076696,0.24591043175113972,0.6110217216411906,3691
A,PEAKED,8,0.5076335877862596,0.1223243598161523,12.499343672139593,0.09426119603110754,0.2701796728345401,0.6355591311343524,4073
A,PEAKED,9,0.53515625,0.15454545454545454,9.852527590663662,0.29337624027889514,0.21198712791633145,0.4946366318047734,3186
A,PEAKED,10,0.5707070707070707,0.1496551724137931,12.505133363551078,0.1450791096808796,0.25522928399034595,0.5996916063287745,3834
A,PEAKED,11,0.5975609756097561,0.15677603423680453,11.48091926708722,0.08836149101635828,0.27956556717618664,0.6320729418074551,4203
A,PEAKED,12,0.5934959349593496,0.1780313837375178,11.341966828355574,0.13167068919281308,0.2739340305711987,0.5943952802359882,4118
A,PEAKED,13,0.4834710743801653,0.15049429657794677,10.952184761376916,0.0888307857334406,0.2555644945025476,0.6556047197640118,3836
A,PEAKED,14,0.48735632183908045,0.18651292802236186,11.375791639909242,0.16358272995441137,0.24758648431214803,0.5888307857334406,3725
A,PEAKED,15,0.6297709923664122,0.10983164983164984,12.223844946965388,0.09359077500670421,0.2843925985518906,0.6220166264414052,4266
A,PEAKED,16,0.55,0.1359999999999999,11.839027313223504,0.08112094395280237,0.27440332528828104,0.6444757307589166,4124
A,PEAKED,17,0.5555555555555556,0.1700781805259417,11.384772604149646,0.10163582729954411,0.26434700992223115,0.6340171627782247,3973
A,PEAKED,18,0.5570652173913043,0.15397225725094565,12.576917754479478,0.138911236256369,0.26790024135156876,0.5931885223920622,4018
A,PEAKED,19,0.5620689655172414,0.16850335070737144,11.109609182896547,0.10552426924108341,0.26810136765888976,0.6263743631000268,4029
A,PEAKED,20,0.6167400881057269,0.1045454545454545,11.049692535317545,0.07890855457227139,0.2745374094931617,0.646554035934567,4125
A,PEAKED,21,0.5643939393939394,0.09205479452054788,11.888353873971374,0.09607133279699652,0.27279431482971306,0.6311343523732904,4098
A,PEAKED,22,0.5606694560669456,0.12283298097251572,11.640249942074062,0.083668543845535,0.2699785465272191,0.6463529096272459,4055
A,PEAKED,23,0.563265306122449,0.1225314777998674,12.122775025074587,0.08876374363100027,0.2713864306784661,0.6398498256905336,4082
A,PEAKED,24,0.5454545454545454,0.1340298507462685,10.86170706755396,0.13837489943684633,0.2585143470099222,0.6031107535532314,3885
A,PEAKED,25,0.5959183673469388,0.14840312278211498,11.639909064765407,0.09345669080182355,0.2863368195226602,0.6202064896755162,4293
A,PEAKED,26,0.5495495495495496,0.11157024793388426,11.987227738250224,0.12536873156342182,0.26883883078573345,0.6057924376508448,4045
A,PEAKED,27,0.533442088091354,0.193779160186625,10.474390945321636,0.23136229552158755,0.24229015821936176,0.5263475462590507,3655
A,PEAKED,28,0.5201729106628242,0.1899721448467966,10.888161660037486,0.2669616519174041,0.21507106462858674,0.5179672834540091,3231
A,PEAKED,29,0.570446735395189,0.12097064110245648,13.277650667664098,0.10934566908018235,0.2891525878251542,0.6015017430946634,4347
A,BROAD,0,0.6770682148040639,0.08159806295399497,9.760752928610435,0.5116653258246179,0.17699115044247787,0.31134352373290425,2667
A,BROAD,1,0.667932718393923,0.0672396359959555,7.424981647229856,0.6623759721104854,0.13133547868061143,0.2062885492089032,1989
A,BROAD,2,0.6147368421052631,0.08473520249221167,9.991730975049956,0.3417806382408152,0.22418879056047197,0.4340305711987128,3375
A,BROAD,3,0.6464,0.10074019245003685,10.910251664859924,0.22687047465808527,0.2685706623759721,0.5045588629659427,4027
A,BROAD,4,0.624868282402529,0.10773480662983426,9.194738174203275,0.34372485921158485,0.2166130329847144,0.43966210780370074,3256
A,BROAD,5,0.6823697359029265,0.11960038058991418,8.275047891382108,0.5132743362831859,0.17384017162778226,0.31288549208903194,2617
A,BROAD,6,0.6543478260869565,0.08945102260495141,6.802809846009694,0.5058997050147492,0.1731027085009386,0.32099758648431215,2612
A,BROAD,7,0.5954631379962193,0.10100200400801596,7.866967365426978,0.3895816572807723,0.20850093858943416,0.4019174041297935,3135
A,BROAD,8,0.596537949400799,0.12575173477255186,10.380843977384494,0.2758782515419684,0.2242558326629123,0.49986591579511935,3372
A,BROAD,9,0.635743519781719,0.0915207373271889,8.516491588820028,0.5361356932153393,0.1710244033252883,0.2928399034593725,2588
A,BROAD,10,0.677710843373494,0.16083499005964197,8.12365276704638,0.6116251005631537,0.14621882542236525,0.24215607401448108,2209
A,BROAD,11,0.622168284789644,0.08465266558966067,9.384555567696045,0.44837758112094395,0.1974389916867793,0.35418342719227675,2973
A,BROAD,12,0.6191275167785235,0.12188679245283018,8.427189590989219,0.4393939393939394,0.20186377044784123,0.35874229015821935,3035
A,BROAD,13,0.6366237482117311,0.1130151843817786,8.164650935221307,0.5174979887369268,0.16512469831053903,0.3173773129525342,2497
A,BROAD,14,0.6588471849865952,0.04845360824742251,8.540046530917103,0.551421292571735,0.17156074014481093,0.277017967283454,2592
A,BROAD,15,0.6888619854721549,0.05499153976311333,9.274254990929037,0.6206757843925985,0.14963797264682221,0.22968624296057924,2262
A,BROAD,16,0.6995336442371752,0.04569319114027892,9.238407356149384,0.5506838294448914,0.168543845534996,0.2807723250201126,2538
A,BROAD,17,0.6738875878220141,0.1006166495375127,7.119417556902517,0.6383748994368463,0.13079914186108876,0.2308259587020649,1979
A,BROAD,18,0.6422594142259415,0.1418197725284338,9.915309340642699,0.5211182622687047,0.18456690801823544,0.2943148297130598,2780
A,BROAD,19,0.6412825651302605,0.11103896103896105,10.01533288969889,0.3533118798605524,0.21942880128720837,0.4272593188522392,3304
A,BROAD,20,0.6434782608695652,0.1568791946308723,10.289735416800875,0.552024671493698,0.1570796460176991,0.29089568248860287,2375
A,BROAD,21,0.6751412429378532,0.08297872340425516,7.622592637044822,0.6511799410029498,0.14045320461249663,0.2083668543845535,2120
A,BROAD,22,0.6510228640192539,0.1034560480841471,10.705312961790167,0.2978010190399571,0.2304237060874229,0.47177527487262,3460
A,BROAD,23,0.6629464285714286,0.02760633861551276,9.490846372309845,0.48551890587288815,0.18832126575489408,0.32615982837221774,2840
A,BROAD,24,0.6694975230007078,0.1051831992850758,8.634889045218632,0.5263475462590507,0.17424242424242425,0.2994100294985251,2625
A,BROAD,25,0.6720977596741344,0.09824046920821106,11.111158015962367,0.17424242424242425,0.26924108340037545,0.5565164923572004,4045
A,BROAD,26,0.6436132674664785,0.12096627164995444,8.763730259618852,0.5158889782783588,0.18222043443282382,0.3018905872888174,2751
A,BROAD,27,0.6458982346832814,0.10221653878942871,9.619593560595446,0.3534459640654331,0.21936175918476802,0.42719227674979887,3305
A,BROAD,28,0.6680497925311203,0.12494432071269479,6.568923907867986,0.6356932153392331,0.1417940466613033,0.22251273799946367,2146
A,BROAD,29,0.6817507418397626,0.09085894405043327,9.760675995893152,0.4952400107267364,0.18637704478412442,0.3183829444891392,2805
A,FLAT,0,0.7259463722397477,0.06771300448430484,4.052095347574205,0.9384553499597748,0.054706355591311345,0.006838294448913918,855
A,FLAT,1,0.7205468435866506,0.06785714285714284,4.016699009318896,0.917538213998391,0.056114239742558324,0.026347546259050683,871
A,FLAT,2,0.7237369687249399,0.06728971962616814,4.190479269718661,0.918342719227675,0.06033789219629927,0.021319388576025743,931
A,FLAT,3,0.697884012539185,0.06975308641975309,4.066737471321783,0.9273263609546796,0.05933226065969429,0.013341378385626173,910
A,FLAT,4,0.7311190193752471,0.061111111111111116,4.21642613427957,0.9212255296326093,0.060069723786537944,0.018704746580852777,933
A,FLAT,5,0.7282442748091603,0.04669051878354202,3.1746121167862476,0.94757307589166,0.05168946098149638,0.0007374631268436578,805
A,FLAT,6,0.7236622073578596,0.06276041666666665,5.185528429548818,0.8828104049342987,0.06737731295253419,0.04981228211316707,1038
A,FLAT,7,0.7065047021943573,0.059374999999999956,3.9834545819675213,0.9303432555644945,0.05604719764011799,0.013609546795387503,868
A,FLAT,8,0.7180616740088106,0.09203413940256033,4.559631421325792,0.923773129525342,0.0583266291230893,0.017900241351568785,898
A,FLAT,9,0.7167248738843617,0.08556701030927827,4.183989999410653,0.9375167605256101,0.053901850362027354,0.008581389112362564,845
A,FLAT,10,0.7140335392762577,0.06954087346024629,6.585223580076297,0.8323277017967283,0.07897559667471171,0.08869670152855993,1205
A,FLAT,11,0.7261526232114467,0.05763546798029551,3.8433960802105407,0.9245105926521856,0.05805846071332797,0.01743094663448646,897
A,FLAT,12,0.7208937671501372,0.06386292834890961,4.149587117680727,0.9366452131938857,0.05665057656208099,0.006704210244033253,885
A,FLAT,13,0.7097767513471901,0.11227197346600315,3.6323063488979055,0.9462992759452936,0.048940734781442743,0.00475998927326361,756
A,FLAT,14,0.7109133126934984,0.09493670886075933,3.9955635378013814,0.9366452131938857,0.05638240815231966,0.006972378653794583,876
A,FLAT,15,0.6977567886658795,0.05872534142640351,4.402268426348084,0.9200187717886833,0.05926521855725395,0.020716009654062752,920
A,FLAT,16,0.7147335423197492,0.0632286995515694,4.51515865913635,0.9380530973451328,0.054773397693751676,0.00717350496111558,860
A,FLAT,17,0.7068683565004088,0.061057023643949826,4.865766545977483,0.8938723518369536,0.06583534459640654,0.04029230356663985,1016
A,FLAT,18,0.7131050767414404,0.08551181102362193,3.8546482742916,0.9357066237597211,0.05463931348887101,0.009654062751407884,845
A,FLAT,19,0.7060221870047544,0.08577777777777773,4.3825282666042495,0.9237060874229016,0.05758916599624564,0.018704746580852777,893
