mean_init,label,seed,fail_rate,gini,mean_skill_end
0.25,PEAKED,0,0.6467391304347826,0.11259040985802304,0.3223277397979995
0.25,PEAKED,1,0.5988538681948424,0.15448175182481752,0.33091367425244217
0.25,PEAKED,2,0.6007905138339921,0.14823340471092078,0.3434808124113278
0.25,PEAKED,3,0.60431654676259,0.10079960019990004,0.3412834572244393
0.25,PEAKED,4,0.5907335907335908,0.15651678998292545,0.3656036615853534
0.25,PEAKED,5,0.5911330049261084,0.1195859872611465,0.3559280748696461
0.25,PEAKED,6,0.6294820717131474,0.1325759649603066,0.343901612995681
0.25,PEAKED,7,0.6610169491525424,0.1401441641253119,0.3328866493292453
0.25,PEAKED,8,0.6068376068376068,0.14306627628426935,0.35773717691918805
0.25,PEAKED,9,0.594553706505295,0.19890981169474728,0.3584097722000224
0.25,BROAD,0,0.7447916666666666,0.07549756744803185,0.26731787621646025
0.25,BROAD,1,0.7278195488721805,0.0680594243268338,0.2805647989259661
0.25,BROAD,2,0.7158620689655173,0.07197604790419161,0.2932102839906953
0.25,BROAD,3,0.6666666666666666,0.09866395585245426,0.31876413913752766
0.25,BROAD,4,0.7026143790849673,0.09703746732500726,0.3267755901655336
0.25,BROAD,5,0.7044573643410853,0.11021739130434782,0.29000824550224324
0.25,BROAD,6,0.7351555136663525,0.06690031152647975,0.2906461987704902
0.25,BROAD,7,0.6646489104116223,0.12607517778530308,0.31404085973721485
0.25,BROAD,8,0.6744457409568262,0.13317638536762041,0.31102555621101446
0.25,BROAD,9,0.7178916109873794,0.12927870251813914,0.28401503272437845
0.25,FLAT,0,0.7681818181818182,0.07331838565022422,0.24177853672041108
0.25,FLAT,1,0.7635232168501676,0.06395891690009337,0.2591437442999067
0.25,FLAT,2,0.7782828282828282,0.06703821656050955,0.25792683540418737
0.25,FLAT,3,0.7731371618414807,0.05649059982094897,0.24953309478005878
0.25,FLAT,4,0.7674543501611171,0.06218649517684888,0.27855251744113957
0.25,FLAT,5,0.771712158808933,0.0681592039800995,0.26022287945168204
0.25,FLAT,6,0.7596197374377547,0.07565392354124749,0.2617602229901523
0.25,FLAT,7,0.7658402203856749,0.08511326860841424,0.2541789435020861
0.25,FLAT,8,0.763653483992467,0.06670071501532175,0.2390667224725101
0.25,FLAT,9,0.7656702025072324,0.08829694323144105,0.2534294421588763
0.32,PEAKED,0,0.512396694214876,0.08971783835485414,0.3834094519901025
0.32,PEAKED,1,0.514018691588785,0.12888239978762941,0.4000419298337748
0.32,PEAKED,2,0.580952380952381,0.09345955249569707,0.4029844628617565
0.32,PEAKED,3,0.5175097276264592,0.10973979470040582,0.41601184061390495
0.32,PEAKED,4,0.6028368794326241,0.11714428108646897,0.40487348094404674
0.32,PEAKED,5,0.6026200873362445,0.08013812812574422,0.3943264041540959
0.32,PEAKED,6,0.6505681818181818,0.12446117891456765,0.41368864933257055
0.32,PEAKED,7,0.5919395465994962,0.11403413709021945,0.4268545645961535
0.32,PEAKED,8,0.5076335877862596,0.13073901301252147,0.4196736849678267
0.32,PEAKED,9,0.53515625,0.16861268047708725,0.41630297063770244
0.32,BROAD,0,0.6770682148040639,0.07442819647544056,0.3460765195100721
0.32,BROAD,1,0.667932718393923,0.05776772247360483,0.3467540817300616
0.32,BROAD,2,0.6147368421052631,0.06497777777777777,0.36287102760794326
0.32,BROAD,3,0.6464,0.08872609883287808,0.3726011864793887
0.32,BROAD,4,0.624868282402529,0.08894348894348894,0.3739152665888802
0.32,BROAD,5,0.6823697359029265,0.08838364539549103,0.34426158341799185
0.32,BROAD,6,0.6543478260869565,0.0728177641653905,0.3562808163171004
0.32,BROAD,7,0.5954631379962193,0.09145135566188198,0.3667396399198697
0.32,BROAD,8,0.596537949400799,0.10854092526690391,0.36329228638016015
0.32,BROAD,9,0.635743519781719,0.09505409582689335,0.3650437514511143
0.32,FLAT,0,0.7278481012658228,0.08270079435127979,0.326841891451754
0.32,FLAT,1,0.7116320212295445,0.08663446054750402,0.3161953776929905
0.32,FLAT,2,0.6835094166283877,0.07459239130434783,0.3320998194065138
0.32,FLAT,3,0.7024567788898999,0.04691106585200271,0.3394678466795251
