label,seed,fail_rate,gini,mean_actual,mean_reported,bias_gap,mean_reputation,reputation_variance,mean_reputation_lost,debunk_impact_rate,exploit_frac,explore_frac,train_frac
PEAKED,0,0.512396694214876,0.10230040595399181,0.8460322576750234,0.9499999999999998,0.10396774232497641,12.328071049767345,59.432952111546705,0.0076545548861327115,0.0002867080932718621,0.09111021721641191,0.27815768302493965,0.6307320997586484
PEAKED,1,0.514018691588785,0.16047516198704104,0.843101685636675,0.9499999999999998,0.10689831436332486,10.962797953421246,58.61664274460167,0.004088805181590386,0.00016360156000561532,0.16626441405202466,0.25107267363904534,0.58266291230893
PEAKED,2,0.580952380952381,0.11462205700123906,0.8370728791202728,0.9499999999999998,0.112927120879727,12.934669588581771,61.41528381273328,0.0013367131635375349,4.593016038732285e-05,0.11531241619737195,0.27071600965406273,0.6139715741485653
PEAKED,3,0.5175097276264592,0.1705716302046576,0.8352848256589072,0.9499999999999998,0.11471517434109268,11.468581921960242,59.09764897386107,0.0,0.0,0.09875301689460982,0.278626977742022,0.6226200053633681
PEAKED,4,0.6028368794326241,0.11973407977606709,0.8478488441602782,0.9499999999999998,0.10215115583972167,11.658110145846209,47.968920292895874,0.0018009380557925177,8.579441190961143e-05,0.10116653258246179,0.2676991150442478,0.6311343523732904
PEAKED,5,0.6026200873362445,0.09453630481667852,0.8394124263911739,0.9499999999999998,0.11058757360882598,11.597768378725839,43.91761590051071,0.0,0.0,0.08440600697237866,0.27996781979082863,0.6356261732367927
PEAKED,6,0.6505681818181818,0.14753495217071366,0.8432589277599758,0.9499999999999998,0.10674107224002405,11.161404004787087,57.946590114880074,0.006497576648916724,0.0006652366665875104,0.12349155269509252,0.25603378921962994,0.6204746580852776
PEAKED,7,0.5919395465994962,0.1345120226308345,0.8471003123572661,0.9499999999999998,0.10289968764273372,11.343479162712622,59.2438380092694,0.005165567675430694,0.00023072646506913357,0.1430678466076696,0.24591043175113972,0.6110217216411906
PEAKED,8,0.5076335877862596,0.1223243598161523,0.8435778787869405,0.9499999999999998,0.10642212121305938,12.499343672139593,61.10719963460156,0.0,0.0,0.09426119603110754,0.2701796728345401,0.6355591311343524
PEAKED,9,0.53515625,0.15454545454545454,0.8490561979135393,0.9499999999999998,0.10094380208646059,9.852527590663662,64.9444426298253,0.005825895746507217,0.00023054864226216326,0.29337624027889514,0.21198712791633145,0.4946366318047734
PEAKED,10,0.5707070707070707,0.1496551724137931,0.8466403154813824,0.9499999999999998,0.10335968451861743,12.505133363551078,72.69327651188472,0.0,0.0,0.1450791096808796,0.25522928399034595,0.5996916063287745
PEAKED,11,0.5975609756097561,0.15677603423680453,0.8378963433533769,0.9499999999999998,0.11210365664662292,11.48091926708722,50.30921123549576,0.0015288351761160238,4.8084214448401666e-05,0.08836149101635828,0.27956556717618664,0.6320729418074551
PEAKED,12,0.5934959349593496,0.1780313837375178,0.8409671783455682,0.9499999999999998,0.10903282165443162,11.341966828355574,58.62494887935817,0.004305102626045788,0.00038005033261855514,0.13167068919281308,0.2739340305711987,0.5943952802359882
PEAKED,13,0.4834710743801653,0.15049429657794677,0.8499484706546605,0.9499999999999998,0.10005152934533934,10.952184761376916,39.791347283536794,0.0,0.0,0.0888307857334406,0.2555644945025476,0.6556047197640118
PEAKED,14,0.48735632183908045,0.18651292802236186,0.8509425803318583,0.9499999999999998,0.09905741966814152,11.375791639909242,57.76337462623502,0.004513579527491457,0.00024379338043587433,0.16358272995441137,0.24758648431214803,0.5888307857334406
PEAKED,15,0.6297709923664122,0.10983164983164984,0.843719685279194,0.9499999999999998,0.10628031472080579,12.223844946965388,63.61751375933696,0.005517419980436397,0.0027651370267087593,0.09359077500670421,0.2843925985518906,0.6220166264414052
PEAKED,16,0.55,0.1359999999999999,0.8408345046112435,0.9499999999999998,0.1091654953887563,11.839027313223504,50.75128136262389,0.0,0.0,0.08112094395280237,0.27440332528828104,0.6444757307589166
