layer,metric,spec_mean,gen_mean,cohen_d,u_stat,p_value
L1_base,fail_rate,0.5716908668455998,0.6460140923980036,-2.6471720225390802,6.0,1.0967431010993e-05
L1_base,domain_gini,0.13800444234855375,0.08406509253219116,1.6886839974233219,205.0,0.00013564226281566485
L1_base,researcher_gini,0.4532064619224557,0.45334327072739566,-0.006545113835023531,114.0,0.9669147771731937
L1_base,mean_reputation,10.381172772614264,7.096158096602309,3.1944205908180408,223.0,5.052703540469847e-06
L2_realism,fail_rate,0.5637977505125715,0.6426567036141541,-3.2216864384274926,2.0,5.052703540469847e-06
L2_realism,domain_gini,0.13269340636763277,0.09439223963521506,1.7154728153579801,199.0,0.0003609347195741742
L2_realism,researcher_gini,0.3933867375205035,0.40327674714179795,-0.3877920670403677,99.0,0.5897385933186072
L2_realism,mean_reputation,11.516300517977887,9.24266775444573,2.485605708941631,213.0,3.356755084154065e-05
L3_full,fail_rate,0.5565482269900488,0.6406630536676258,-2.032608087704804,15.0,5.737063008488556e-05
L3_full,domain_gini,0.14284174959275026,0.0998811347037326,1.5815685604098477,195.0,0.0006709034051003713
L3_full,researcher_gini,0.3941209835221971,0.40254444996392735,-0.36929967140372505,85.0,0.26275304114766074
L3_full,mean_reputation,11.564183288592373,8.784314096723119,2.8752879428037965,222.0,6.151638741096578e-06
